id,celltype,biosampletype,ctrltype,lab
ENCFF000BWK,K562,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000VXH,GM12878,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000YRB,K562,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000PBO,HCT116,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002ECW,K562,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFU,GM12878,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000NGC,A549,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000WMH,GM18526,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001GXE,fibroblast of lung,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000RCM,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000VHL,MCF-7,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF001RVO,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002ELW,MCF-7,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ARO,GM12878,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000NFM,A549,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HVP,foreskin fibroblast,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000RNI,H54,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000VKN,mononuclear cell,primary cell,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF002EFK,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000OJZ,GM12891,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000SAZ,MCF-7,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000ZPM,Raji,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF001HAY,B cell,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000AVR,H1-hESC,stem cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000BQW,endothelial cell of umbilical vein,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
